time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/26/21:08:49.668509,1,1645927729,668354034,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.701235,2,1645927729,701083898,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.729931,3,1645927729,729806900,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.758658,4,1645927729,758503913,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.791679,5,1645927729,791548967,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.820269,6,1645927729,820056915,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.850034,7,1645927729,849865913,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.881576,8,1645927729,881448030,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260384054855,0.13195694983,-0.000449957762612,3,0.00211046938784,0.192720547318,-0.0524840168655,4,0.00344808911905,0.24446643889,-0.113480508327,5,0.00769754406065,0.295783400536,-0.17470562458,6,0.0107589708641,0.35264891386,-0.230892255902,7,0.0133919036016,0.403207927942,-0.292834609747
2022/02/26/21:08:49.910126,9,1645927729,909986972,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260541820899,0.131956905127,-0.000450271676527,3,0.00211204704829,0.192720487714,-0.0524843297899,4,0.00344966654666,0.244466394186,-0.113480821252,5,0.00769912125543,0.295783340931,-0.174705937505,6,0.0107605485246,0.352648884058,-0.230892568827,7,0.0133934803307,0.403207868338,-0.29283490777
2022/02/26/21:08:49.943027,10,1645927729,942852973,,0,0.0,0.0,0.0,1,0.00529042072594,0.0563022382557,0.0254178959876,2,0.00260541820899,0.131956905127,-0.000450271676527,3,0.00211204704829,0.192720487714,-0.0524843297899,4,0.00344966654666,0.244466394186,-0.113480821252,5,0.00769912125543,0.295783340931,-0.174705937505,6,0.0107605485246,0.352648884058,-0.230892568827,7,0.0133934803307,0.403207868338,-0.29283490777
