time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/23/15:44:33.431827,7,1645649073,431601047,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601859297603,0.168280929327,0.0159483700991,3,0.0055252215825,0.229044511914,-0.0360856875777,4,0.00686284108087,0.280790418386,-0.097082182765,5,0.0111122960225,0.332107365131,-0.158307284117,6,0.0141737237573,0.388972908258,-0.21449393034,7,0.0168066546321,0.439531892538,-0.276436269283
2022/02/23/15:44:33.460917,8,1645649073,460643053,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.493673,9,1645649073,493280887,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.522291,10,1645649073,522006034,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.550405,11,1645649073,550198078,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.583531,12,1645649073,583297967,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.613006,13,1645649073,612664937,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.641949,14,1645649073,641729116,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.673723,15,1645649073,673463106,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601701531559,0.16828097403,0.0159486848861,3,0.00552364392206,0.229044571519,-0.0360853746533,4,0.00686126388609,0.280790477991,-0.0970818698406,5,0.011110718362,0.332107424736,-0.158306971192,6,0.0141721460968,0.388972938061,-0.214493602514,7,0.0168050769717,0.439531952143,-0.27643597126
2022/02/23/15:44:33.702197,16,1645649073,701972961,,0,0.0,0.0,0.0,1,0.00870359502733,0.0926262661815,0.0418165400624,2,0.00601859297603,0.168280929327,0.0159483700991,3,0.0055252215825,0.229044511914,-0.0360856875777,4,0.00686284108087,0.280790418386,-0.097082182765,5,0.0111122960225,0.332107365131,-0.158307284117,6,0.0141737237573,0.388972908258,-0.21449393034,7,0.0168066546321,0.439531892538,-0.276436269283
