time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.ID_0,.x0,.y0,.z0,.ID_1,.x1,.y1,.z1,.ID_2,.x2,.y2,.z2,.ID_3,.x3,.y3,.z3,.ID_4,.x4,.y4,.z4,.ID_5,.x5,.y5,.z5,.ID_6,.x6,.y6,.z6,.ID_7,.x7,.y7,.z7
2022/02/23/19:55:44.409529,1,1645664144,409363985,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.425087,2,1645664144,424932003,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.439685,3,1645664144,439508914,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.453871,4,1645664144,453757047,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.470140,5,1645664144,470021009,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.484866,6,1645664144,484750032,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.500393,7,1645664144,500222921,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.515477,8,1645664144,515315055,,0,0.0,0.0,0.0,1,-0.00342337833717,0.0964597016573,-0.0329819135368,2,-0.00610838085413,0.172114372253,-0.0588500797749,3,-0.00879338290542,0.247769027948,-0.0847182497382,4,-0.011478385888,0.323423713446,-0.110586419702,5,-0.00841695908457,0.380289256573,-0.166773051023,6,-0.00535553134978,0.437154769897,-0.222959682345,7,-0.00229410431348,0.494020313025,-0.279146313667
2022/02/23/19:55:44.530092,9,1645664144,529884099,,0,0.0,0.0,0.0,1,-0.00342136668041,0.0964596346021,-0.0329823121428,2,-0.00610479153693,0.172114253044,-0.0588507950306,3,-0.0087882168591,0.247768864036,-0.0847192779183,4,-0.01147164125,0.323423475027,-0.110587760806,5,-0.00841021444649,0.380289018154,-0.166774392128,6,-0.00534878717735,0.437154561281,-0.22296102345,7,-0.00228735990822,0.494020104408,-0.279147654772
2022/02/23/19:55:44.544891,10,1645664144,544730901,,0,0.0,0.0,0.0,1,-0.00342136668041,0.0964596346021,-0.0329823121428,2,-0.00610479153693,0.172114253044,-0.0588507950306,3,-0.0087882168591,0.247768864036,-0.0847192779183,4,-0.01147164125,0.323423475027,-0.110587760806,5,-0.00841021444649,0.380289018154,-0.166774392128,6,-0.00534878717735,0.437154561281,-0.22296102345,7,-0.00228735990822,0.494020104408,-0.279147654772
